,year,price,mileage,engine_size,Automatic,Manual,Other,Semi-Auto,Diesel,Hybrid,fuel_type_Other,Petrol
0,2020,30495,1200,2.0,1,0,0,0,1,0,0,0
1,2020,29989,1000,15.0,1,0,0,0,0,0,0,1
2,2020,37899,500,2.0,1,0,0,0,1,0,0,0
3,2019,30399,5000,2.0,1,0,0,0,1,0,0,0
4,2019,29899,4500,2.0,1,0,0,0,1,0,0,0
5,2020,30999,1000,2.0,1,0,0,0,1,0,0,0
6,2020,35999,500,2.0,1,0,0,0,1,0,0,0
7,2019,37990,1412,3.0,1,0,0,0,0,0,0,1
8,2019,28990,3569,2.0,1,0,0,0,1,0,0,0
9,2019,28990,3635,2.0,1,0,0,0,1,0,0,0
10,2013,9995,44900,16.0,1,0,0,0,0,0,0,1
11,2012,6995,88200,21.0,1,0,0,0,1,0,0,0
12,2012,7495,115000,21.0,1,0,0,0,1,0,0,0
13,2011,8995,69250,21.0,1,0,0,0,1,0,0,0
14,2015,14995,49850,21.0,1,0,0,0,1,0,0,0
15,2013,8595,82685,2.1,1,0,0,0,1,0,0,0
16,2016,19250,32506,21.0,0,0,0,1,1,0,0,0
17,2017,23500,17000,21.0,0,0,0,1,1,0,0,0
18,2018,24995,17744,2.0,0,0,0,1,1,0,0,0
19,2016,29995,64291,4.0,0,0,0,1,0,0,0,1
33,2014,17990,41011,2.0,1,0,0,0,0,0,0,1
34,2016,14477,72000,16.0,1,0,0,0,1,0,0,0
35,2013,10977,72000,21.0,1,0,0,0,1,0,0,0
36,2016,17977,40000,16.0,1,0,0,0,1,0,0,0
55,2015,12790,52000,2.1,1,0,0,0,1,0,0,0
57,2017,14488,66472,21.0,1,0,0,0,1,0,0,0
58,2011,7500,91000,21.0,0,1,0,0,1,0,0,0
59,2013,9750,69700,21.0,1,0,0,0,1,0,0,0
60,2015,15995,39000,1.6,1,0,0,0,1,0,0,0
61,2016,15675,39287,2.1,0,1,0,0,1,0,0,0
62,2016,16475,40569,2.1,0,1,0,0,1,0,0,0
63,2016,15975,37419,2.0,0,1,0,0,0,0,0,1
64,2016,16475,34452,2.1,1,0,0,0,1,0,0,0
65,2015,15975,41567,2.1,1,0,0,0,0,1,0,0
66,2015,16495,41130,2.0,1,0,0,0,0,1,0,0
67,2017,17795,37778,2.1,1,0,0,0,1,0,0,0
68,2017,17875,44325,2.1,1,0,0,0,1,0,0,0
69,2016,14000,45000,21.0,1,0,0,0,1,0,0,0
70,2017,16500,75000,16.0,1,0,0,0,1,0,0,0
71,2016,21000,36000,21.0,1,0,0,0,1,0,0,0
72,2015,15500,64000,21.0,1,0,0,0,1,0,0,0
73,2013,7250,106000,21.0,0,1,0,0,1,0,0,0
74,2015,13000,67150,2.1,1,0,0,0,1,0,0,0
75,2012,11000,43426,1.6,1,0,0,0,0,0,0,1
76,2016,13300,42622,2.1,0,1,0,0,1,0,0,0
77,2016,16000,34903,2.1,0,1,0,0,1,0,0,0
78,2014,12500,35345,2.1,1,0,0,0,1,0,0,0
79,2015,14495,23146,2.0,0,1,0,0,0,0,0,1
80,2017,24500,16000,21.0,1,0,0,0,1,0,0,0
81,2013,23990,44000,62.0,1,0,0,0,0,0,0,1
82,2015,17250,30000,21.0,1,0,0,0,1,0,0,0
83,2015,14200,22000,16.0,1,0,0,0,0,0,0,1
84,2017,22950,19000,2.0,1,0,0,0,0,0,0,1
85,2013,10500,90000,21.0,1,0,0,0,1,0,0,0
86,2014,15650,32000,21.0,1,0,0,0,1,0,0,0
87,2015,14850,90000,21.0,1,0,0,0,1,0,0,0
88,2017,22400,37000,21.0,1,0,0,0,1,0,0,0
89,2017,19950,23000,21.0,1,0,0,0,1,0,0,0
90,2014,9990,78000,2.1,1,0,0,0,1,0,0,0
91,2015,11990,47000,2.1,1,0,0,0,1,0,0,0
92,2017,20990,18000,2.1,1,0,0,0,1,0,0,0
93,2015,14490,64000,2.1,1,0,0,0,1,0,0,0
94,2013,10490,50000,2.1,1,0,0,0,1,0,0,0
95,2016,15990,65000,2.1,1,0,0,0,1,0,0,0
96,2016,17850,38000,21.0,1,0,0,0,1,0,0,0
